2016-09-27 22:52:42.9012 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 22:52:42.9212 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 23:14:47.2579 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x65
2016-09-27 23:14:47.2779 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x01 0x41 0x50 0x65]
2016-09-27 23:14:47.4520 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x06 0x88 0x01 0x41 0x50 0x00 0x01 0xE4]
2016-09-27 23:14:47.4810 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 23:14:47.4810 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 23:14:47.4931 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 23:14:47.4931 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x6F
2016-09-27 23:14:47.4931 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x02 0x42 0x44 0x6F]
2016-09-27 23:14:47.5191 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x09 0x88 0x02 0x42 0x44 0x00 0x00 0x00 0x00]
2016-09-27 23:14:47.5361 | DEBUG | XBee.SerialConnection | Receiving data: [0x03 0xEC]
2016-09-27 23:14:47.5361 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 23:14:47.5361 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
2016-09-27 23:14:47.5391 | DEBUG | XBee.XBee | XBee.Frames.ATCommandResponse
2016-09-27 23:14:47.5391 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x56
2016-09-27 23:14:47.5391 | DEBUG | XBee.SerialConnection | Sending data: [0x7E 0x00 0x04 0x08 0x03 0x4E 0x50 0x56]
2016-09-27 23:14:47.5671 | DEBUG | XBee.SerialConnection | Receiving data: [0x7E 0x00 0x07 0x88 0x03 0x4E 0x50 0x00 0x01 0x00]
2016-09-27 23:14:47.5831 | DEBUG | XBee.SerialConnection | Receiving data: [0xD5]
2016-09-27 23:14:47.5831 | DEBUG | XBee.XBeeChecksum | Computed checksum is 0x00
2016-09-27 23:14:47.5831 | DEBUG | XBee.XBeeChecksum | Verify checksum is 0x00
